,person_id,id,name,character,role
84,1462623,tm127384,Sally Coombe,Girl in Castle Anthrax,ACTOR
85,1462995,tm127384,Vivienne MacDonald,Girl in Castle Anthrax,ACTOR
86,1462975,tm127384,Yvonne Dick,Girl in Castle Anthrax,ACTOR
87,1462978,tm127384,Daphne Darling,Girl in Castle Anthrax,ACTOR
88,703435,tm127384,Fiona Gordon,Girl in Castle Anthrax,ACTOR
89,1463011,tm127384,Judy Lamb,Girl in Castle Anthrax,ACTOR
90,1462986,tm127384,Tracy Sneddon,Girl in Castle Anthrax,ACTOR
91,1462588,tm127384,Joyce Pollner,Girl in Castle Anthrax,ACTOR
92,889417,tm127384,Mary Allen,Girl in Castle Anthrax,ACTOR
93,1464056,tm127384,Gloria Graham,Girl in Castle Anthrax,ACTOR
94,1671807,tm127384,Sylvia Taylor,Girl in Castle Anthrax,ACTOR
95,11490,tm127384,Julian Doyle,Police Sergeant (uncredited),ACTOR
96,84047,tm127384,Margarita Doyle,Peasant (uncredited),ACTOR
97,1463016,tm127384,Zack Matalon,Guard who Falls into Barrels (uncredited),ACTOR
98,1463018,tm127384,Scott Mike,Bash (Mudfighter (uncredited),ACTOR
99,1463021,tm127384,William Palin,Sir Not-Appearing-in-this-Film (uncredited),ACTOR
100,11475,tm127384,Terry Jones,Themselves (uncredited),ACTOR
101,919694,tm127384,Tom Raeburn,Guard Eating Apple (uncredited),ACTOR
102,400172,tm127384,Brian Ross,Biff (Mudfighter) (uncredited),ACTOR
103,14908,tm127384,Roy Forge Smith,Inspector End of Film (uncredited),ACTOR
104,8327,tm127384,John Thornton,Dancing Knight (uncredited),ACTOR
105,156072,tm127384,Maggie Weston,Page-turner (uncredited),ACTOR
108,35196,tm120801,Lee Marvin,Maj. John Reisman,ACTOR
109,1050,tm120801,Ernest Borgnine,Maj. Gen. Worden,ACTOR
110,16868,tm120801,Charles Bronson,Joseph Wladislaw,ACTOR
111,14351,tm120801,Jim Brown,Robert Jefferson,ACTOR
112,35197,tm120801,John Cassavetes,Victor Franko,ACTOR
113,35200,tm120801,Richard Jaeckel,Sergeant Bowren,ACTOR
114,1061,tm120801,George Kennedy,Major Max Armbruster,ACTOR
115,35198,tm120801,Trini López,Pedro Jiminez,ACTOR
116,21482,tm120801,Ralph Meeker,Captain Stuart Kinder,ACTOR
117,24126,tm120801,Robert Ryan,Col. Everett Dasher Breed,ACTOR
118,21838,tm120801,Telly Savalas,Archer Maggott,ACTOR
119,1765,tm120801,Donald Sutherland,Vernon Pinkley,ACTOR
120,35199,tm120801,Clint Walker,Samson Posey,ACTOR
121,8044,tm120801,Robert Webber,General Denton,ACTOR
122,35201,tm120801,Tom Busby,Milo Vladek,ACTOR
123,35202,tm120801,Ben Carruthers,Glenn Gilpin,ACTOR
124,35203,tm120801,Stuart Cooper,Roscoe Lever,ACTOR
125,29814,tm120801,Robert Phillips,Cpl. Morgan - MP Guard,ACTOR
126,35204,tm120801,Colin Maitland,Seth Sawyer,ACTOR
127,15345,tm120801,Al Mancini,Tassos Bravos,ACTOR
128,2095,tm120801,George Roubicek,Pvt. Arthur James Gardner,ACTOR
129,32622,tm120801,Thick Wilson,Gen. Worden's Aide,ACTOR
130,548877,tm120801,Dora Reisser,German Officer's Girl,ACTOR
131,361026,tm120801,Michael Anthony,German Officer in Staff Car (uncredited),ACTOR
132,35206,tm120801,Leo Britt,German General in Staff Car (uncredited),ACTOR
133,35207,tm120801,Alan Chuntz,French Servant (uncredited),ACTOR
134,35208,tm120801,Gary Files,Ambulance Driver (uncredited),ACTOR
135,35209,tm120801,Judith Furse,Drunken General's Wife (uncredited),ACTOR
136,35210,tm120801,Hal Galili,MP Master Sergeant / Hangman (uncredited),ACTOR
137,35211,tm120801,Romo Gorrara,Airborne Soldier (uncredited),ACTOR
138,11181,tm120801,Willoughby Gray,German Officer (uncredited),ACTOR
139,35212,tm120801,Gerard Heinz,Card-Playing German Officer (uncredited),ACTOR
140,21244,tm120801,John G. Heller,2nd German Sentry at Chateau (uncredited),ACTOR
141,35213,tm120801,George Hilsdon,Medical Officer at Hanging (uncredited),ACTOR
142,35214,tm120801,John Hollis,German Porter at Chateau (uncredited),ACTOR
143,10097,tm120801,Alf Joint,German Sentry Wanting Light (uncredited),ACTOR
144,35215,tm120801,Juba Kennerley,German Officer (uncredited),ACTOR
145,35216,tm120801,Hildegard Knef,(uncredited),ACTOR
146,35217,tm120801,Ann Lancaster,Prostitute (uncredited),ACTOR
147,35218,tm120801,Richard Marner,German Sentry at Chateau (uncredited),ACTOR
148,1062,tm120801,Dick Miller,MP at Hanging (uncredited),ACTOR
149,22266,tm120801,Lionel Murton,MP Lt. Col. in charge at hanging (uncredited),ACTOR
150,35219,tm120801,Suzanne Owens-Duval,Prostitute (uncredited),ACTOR
151,4500,tm120801,Mike Reid,Sergeant at War Games HQ (uncredited),ACTOR
152,31806,tm120801,Terry Richards,Blake (uncredited),ACTOR
153,35220,tm120801,Frederick Schiller,Drunken German General (uncredited),ACTOR
154,35222,tm120801,Richard Shaw,German Officer Who Seals the Bunker (uncredited),ACTOR
155,35223,tm120801,Warren Stanhope,German Officer (uncredited),ACTOR
156,35224,tm120801,Hedger Wallace,German Officer (uncredited),ACTOR
157,35225,tm120801,Theodore Wilhelm,German Officer (uncredited),ACTOR
158,35226,tm120801,Rocky Taylor,Airborne Soldier (uncredited),ACTOR
159,2105,tm120801,Burnell Tucker,Army Doctor (uncredited),ACTOR
160,35227,tm120801,Vicki Woolf,Prostitute (uncredited),ACTOR
161,744350,tm120801,Michael Segal,Airborne Band Conductor (uncredited),ACTOR
163,11472,ts22164,Graham Chapman,Various,ACTOR
164,11476,ts22164,Michael Palin,"Various / ""It's"" man",ACTOR
165,11475,ts22164,Terry Jones,Various,ACTOR
166,11474,ts22164,Eric Idle,Various,ACTOR
167,11473,ts22164,Terry Gilliam,Various,ACTOR
168,11472,tm70993,Graham Chapman,Wise Man #2 / Brian Cohen / Biggus Dickus,ACTOR
169,1549,tm70993,John Cleese,Wise Man #1 / Reg / Jewish Official / First Centurion / Deadly Dirk / Arthur,ACTOR
170,11473,tm70993,Terry Gilliam,Man Even Further Forward / Revolutionary / Jailer / Blood and Thunder Prophet / Frank / Audience Member / Crucifee,ACTOR
171,11474,tm70993,Eric Idle,Mr. Cheeky / Stan 'Loretta' / Harry the Haggler / Culprit Woman / Warris / Intensely Dull Youth / Jailer's Assistant / Otto / Lead Singer Crucifee,ACTOR
172,11475,tm70993,Terry Jones,Mandy Cohen / Colin / Simon the Holy Man / Bob Hoskins / Saintly Passer-by / Alarmed Crucifixion Assistant,ACTOR
173,11476,tm70993,Michael Palin,Wise Man #3 / Mr. Big Nose / Francis / Mrs. A / Ex-Leper / Announcer / Ben / Pontius Pilate / Boring Prophet / Eddie / Shoe Follower / Nisus Wettus,ACTOR
174,11477,tm70993,Terence Bayler,Gregory,ACTOR
175,11478,tm70993,Carol Cleveland,Mrs. Gregory,ACTOR
176,11479,tm70993,Kenneth Colley,Jesus,ACTOR
177,11482,tm70993,Neil Innes,A Weedy Samaritan,ACTOR
